scorer_id,trial_id,assay,mobile_seconds,window_s,tail_climbing,wall_support_still,unscoreable,note,scored_at,presentation_order
张咸明,FST-20mg 2周-ch4,FST,323.7,382.36,,true,false,,2026-09-08,7
张咸明,FST-抑郁8-10-ch1,FST,328.8,467.56,,true,false,,2026-09-08,9
张咸明,FST-抑郁8-10-ch3,FST,268.0,467.56,,true,false,,2026-09-08,11
张咸明,FST-抑郁8-10-ch2,FST,240.2,467.56,,true,false,,2026-09-08,16
张咸明,FST-20mg 2周-ch2,FST,350.6,382.36,,false,false,,2026-09-08,23
张咸明,FST-抑郁8-10-ch4,FST,,,,,true,全程无鼠（清单声明）,2026-09-08,26
张咸明,FST-20mg 2周-ch1,FST,207.6,382.36,,true,false,,2026-09-08,27
张咸明,FST-20mg 2周-ch3,FST,318.9,382.36,,true,false,,2026-09-08,28
