scorer_id,trial_id,assay,mobile_seconds,window_s,tail_climbing,wall_support_still,unscoreable,note,scored_at,presentation_order
陈璇,FST-抑郁8-10-ch2,FST,269.0,467.56,,true,false,,2026-09-08,2
陈璇,FST-抑郁8-10-ch4,FST,,,,,true,全程无鼠（清单声明）,2026-09-08,4
陈璇,FST-抑郁8-10-ch3,FST,208.5,467.56,,true,false,,2026-09-08,6
陈璇,FST-20mg 2周-ch2,FST,357.2,382.36,,true,false,,2026-09-08,10
陈璇,FST-20mg 2周-ch3,FST,335.2,382.36,,true,false,,2026-09-08,13
陈璇,FST-20mg 2周-ch1,FST,134.0,382.36,,true,false,,2026-09-08,19
陈璇,FST-20mg 2周-ch4,FST,332.2,382.36,,true,false,,2026-09-08,20
陈璇,FST-抑郁8-10-ch1,FST,350.8,467.56,,true,false,,2026-09-08,26
