scorer_id,trial_id,assay,mobile_seconds,window_s,tail_climbing,wall_support_still,unscoreable,note,scored_at,presentation_order
徐乐彤,FST-20mg 2周-ch4,FST,358.1,382.36,,true,false,,2026-09-08,7
徐乐彤,FST-抑郁8-10-ch1,FST,350.4,467.56,,true,false,,2026-09-08,9
徐乐彤,FST-抑郁8-10-ch3,FST,287.3,467.56,,true,false,,2026-09-08,11
徐乐彤,FST-抑郁8-10-ch2,FST,256.9,467.56,,true,false,,2026-09-08,16
徐乐彤,FST-20mg 2周-ch2,FST,376.3,382.36,,true,false,,2026-09-08,23
徐乐彤,FST-抑郁8-10-ch4,FST,,,,,true,全程无鼠（清单声明）,2026-09-08,26
徐乐彤,FST-20mg 2周-ch1,FST,185.4,382.36,,false,false,,2026-09-08,27
徐乐彤,FST-20mg 2周-ch3,FST,340.1,382.36,,false,false,,2026-09-08,28
